filename,text,emotion
OAF_back_fear.wav,back,fear
OAF_back_disgust.wav,back,disgust
OAF_back_angry.wav,back,angry
OAF_bar_fear.wav,bar,fear
OAF_bath_fear.wav,bath,fear
OAF_base_fear.wav,base,fear
OAF_base_ps.wav,base,ps
OAF_bar_ps.wav,bar,ps
OAF_back_ps.wav,back,ps
OAF_base_sad.wav,base,sad
OAF_back_sad.wav,back,sad
OAF_bar_sad.wav,bar,sad
OAF_bath_angry.wav,bath,angry
OAF_base_angry.wav,base,angry
OAF_bar_angry.wav,bar,angry
OAF_bath_disgust.wav,bath,disgust
OAF_bar_disgust.wav,bar,disgust
OAF_base_disgust.wav,base,disgust
OAF_bar_happy.wav,bar,happy
OAF_back_happy.wav,back,happy
OAF_base_happy.wav,base,happy
OAF_back_neutral.wav,back,neutral
OAF_bar_neutral.wav,bar,neutral
OAF_base_neutral.wav,base,neutral
OAF_came_disgust.wav,came,disgust
OAF_calm_neutral.wav,calm,neutral
OAF_cab_neutral.wav,cab,neutral
OAF_calm_ps.wav,calm,ps
OAF_calm_happy.wav,calm,happy
OAF_calm_fear.wav,calm,fear
OAF_calm_sad.wav,calm,sad
OAF_came_angry.wav,came,angry
OAF_cab_sad.wav,cab,sad
OAF_calm_angry.wav,calm,angry
OAF_cab_ps.wav,cab,ps
OAF_cab_happy.wav,cab,happy
OAF_calm_disgust.wav,calm,disgust
OAF_came_fear.wav,came,fear
OAF_burn_sad.wav,burn,sad
OAF_burn_ps.wav,burn,ps
OAF_bought_neutral.wav,bought,neutral
OAF_burn_happy.wav,burn,happy
OAF_bought_sad.wav,bought,sad
OAF_bought_happy.wav,bought,happy
OAF_cab_angry.wav,cab,angry
OAF_burn_neutral.wav,burn,neutral
OAF_burn_disgust.wav,burn,disgust
OAF_burn_fear.wav,burn,fear
OAF_burn_angry.wav,burn,angry
OAF_bought_ps.wav,bought,ps
OAF_cab_fear.wav,cab,fear
OAF_cab_disgust.wav,cab,disgust
OAF_bone_fear.wav,bone,fear
OAF_bone_sad.wav,bone,sad
OAF_bone_happy.wav,bone,happy
OAF_boat_ps.wav,boat,ps
OAF_book_neutral.wav,book,neutral
OAF_boat_fear.wav,boat,fear
OAF_book_happy.wav,book,happy
OAF_book_disgust.wav,book,disgust
OAF_bone_ps.wav,bone,ps
OAF_book_sad.wav,book,sad
OAF_boat_neutral.wav,boat,neutral
OAF_book_ps.wav,book,ps
OAF_bone_neutral.wav,bone,neutral
OAF_bone_disgust.wav,bone,disgust
OAF_book_fear.wav,book,fear
OAF_bone_angry.wav,bone,angry
OAF_boat_sad.wav,boat,sad
OAF_book_angry.wav,book,angry
OAF_bought_angry.wav,bought,angry
OAF_bought_disgust.wav,bought,disgust
OAF_bought_fear.wav,bought,fear
OAF_beg_disgust.wav,beg,disgust
OAF_bite_angry.wav,bite,angry
OAF_beg_fear.wav,beg,fear
OAF_beg_neutral.wav,beg,neutral
OAF_bite_sad.wav,bite,sad
OAF_bite_fear.wav,bite,fear
OAF_beg_ps.wav,beg,ps
OAF_bite_happy.wav,bite,happy
OAF_boat_angry.wav,boat,angry
OAF_bite_ps.wav,bite,ps
OAF_bite_disgust.wav,bite,disgust
OAF_beg_sad.wav,beg,sad
OAF_beg_happy.wav,beg,happy
OAF_beg_angry.wav,beg,angry
OAF_boat_happy.wav,boat,happy
OAF_boat_disgust.wav,boat,disgust
OAF_bean_fear.wav,bean,fear
OAF_bean_disgust.wav,bean,disgust
OAF_bean_neutral.wav,bean,neutral
OAF_bean_happy.wav,bean,happy
OAF_bean_angry.wav,bean,angry
OAF_bath_sad.wav,bath,sad
OAF_bath_ps.wav,bath,ps
OAF_bath_happy.wav,bath,happy
OAF_bath_neutral.wav,bath,neutral
OAF_bean_sad.wav,bean,sad
OAF_bean_ps.wav,bean,ps
OAF_doll_happy.wav,doll,happy
OAF_doll_fear.wav,doll,fear
OAF_ditch_sad.wav,ditch,sad
OAF_dip_disgust.wav,dip,disgust
OAF_dip_ps.wav,dip,ps
OAF_dodge_angry.wav,dodge,angry
OAF_dip_fear.wav,dip,fear
OAF_ditch_fear.wav,ditch,fear
OAF_dip_happy.wav,dip,happy
OAF_dime_neutral.wav,dime,neutral
OAF_ditch_happy.wav,ditch,happy
OAF_dip_sad.wav,dip,sad
OAF_dip_neutral.wav,dip,neutral
OAF_dime_sad.wav,dime,sad
OAF_ditch_disgust.wav,ditch,disgust
OAF_ditch_angry.wav,ditch,angry
OAF_ditch_ps.wav,ditch,ps
OAF_dodge_disgust.wav,dodge,disgust
OAF_deep_sad.wav,deep,sad
OAF_dime_fear.wav,dime,fear
OAF_dime_disgust.wav,dime,disgust
OAF_deep_ps.wav,deep,ps
OAF_deep_fear.wav,deep,fear
OAF_dime_angry.wav,dime,angry
OAF_death_neutral.wav,death,neutral
OAF_death_happy.wav,death,happy
OAF_deep_neutral.wav,deep,neutral
